Year,FirstName,FullName,InfluenceToBoy,InfluenceToGirl
2014,James,James Nesbitt,-1.07287029191,0.0
2014,Bingbing,Bingbing Li,-1,-1
2014,Sophia,Sophia Myles,-1,-0.839321624145
2014,Kelsey,Kelsey Grammer,0.0,-0.694330434186
2014,Julianne,Julianne Moore,-1,-0.511732602578
2014,Eddie,Eddie Redmayne,-0.656251209971,0.0
2016,Henry,Henry Cavill,0.932449381615,0.0
2016,Lauren,Lauren Cohan,0.0,1.04796273259
2016,Alan,Alan D. Purwin,1.00214704974,-1
2016,Robert,Robert Downey Jr.,1.00080429416,0.0
2016,Scarlett,Scarlett Johansson,-1,0.801345308833
2016,Chris,Chris Evans,0.950180886343,0.0
2016,Emma,Emma Stone,0.0,0.998880522605
2016,Casey,Casey Affleck,0.872186637505,0.782222088257
2011,Johnny,Johnny Depp,0.111094363869,-1
2011,Sam,Sam Claflin,0.0614019416233,-1
2011,Stephen,Stephen Graham,0.179859951246,-1
2011,Joe,Joe Mantegna,0.204925283729,0.0
2011,Thomas,Thomas Kretschmann,0.196151190062,0.0
2011,Eddie,Eddie Izzard,0.0404320050487,0.0
2011,Meryl,Meryl Streep,-1,0.0
2011,Jean,Jean Dujardin,-0.135209740821,0.0
2010,Brad,Brad Garrett,0.368485084355,-1
2010,Donna,Donna Murphy,-1,-0.336976808684
2010,M.C.,M.C. Gainey,-1,-1
2010,Mark,Mark Addy,0.109047991396,0.0
2010,William,William Hurt,0.0734466483818,0.0
2010,Scott,Scott Grimes,0.100466073864,0.0
2010,Natalie,Natalie Portman,-1,0.0137455115254
2010,Colin,Colin Firth,-0.0957197027674,-1
2013,Johnny,Johnny Depp,-0.950429056459,-1
2013,Ruth,Ruth Wilson,-1,-0.955086034516
2013,Tom,Tom Wilkinson,0.0,-1
2013,Henry,Henry Cavill,-1.33257949439,0.0
2013,Christopher,Christopher Meloni,-0.727682444659,0.0
2013,Harry,Harry Lennix,-0.597577520342,-1
2013,Cate,Cate Blanchett,-1,0.0
2013,Matthew,Matthew McConaughey,-0.934478178183,0.0
2012,Tom,Tom Hardy,0.0,-1
2012,Christian,Christian Bale,-0.853030001744,-0.0341137450434
2012,Joseph,Joseph Gordon-Levitt,-0.862741491183,0.0
2012,Daryl,Daryl Sabara,0.374596496949,0.0
2012,Samantha,Samantha Morton,0.0,-0.846164000439
2012,Polly,Polly Walker,-1,0.0
2012,Jennifer,Jennifer Lawrence,0.0,-0.735962218374
2012,Daniel,Daniel Day-Lewis,-0.821502397521,0.0
1955,Jerry,Jerry Mathers,0.101657620382,0.171402511073
1955,John,John Forsythe,-0.0137040476071,0.155766093063
1955,Royal,Royal Dano,-0.0689832766104,0.0
1955,Hanne,Hanne Aagesen,-1,-1
1955,Sylvia,Sylvia Eckhausen,-1,-0.0150042411887
1955,Ejner,Ejner Federspiel,-1,-1
1955,Anna,Anna Magnani,-1,0.033853173337
1955,Ernest,Ernest Borgnine,-0.0849814040182,-1
1954,Gene,Gene Tierney,0.12829683308,0.0
1954,Peter,Peter Ustinov,0.0335425471844,-1
1954,Jean,Jean Simmons,-0.132151899079,-0.0868647832614
1954,Marlon,Marlon Brando,-0.485191901361,-1
1954,Karl,Karl Malden,0.120917768854,-1
1954,Rod,Rod Steiger,0.653160279247,-1
1954,Grace,Grace Kelly,-1,0.453900101214
1954,Marlon,Marlon Brando,-0.485191901361,-1
1957,William,William Holden,-0.0588937450773,-0.312711689143
1957,Sessue,Sessue Hayakawa,-1,-1
1957,Jack,Jack Hawkins,-0.11714014754,-1
1957,Jack,Jack Warden,-0.11714014754,-1
1957,Lee,Lee J. Cobb,-0.0559143228319,-0.519483458108
1957,John,John Fiedler,-0.00995294963086,-0.13818159173
1957,Joanne,Joanne Woodward,-1,0.0107618969455
1957,Alec,Alec Guinness,0.01,-1
1956,Royal,Royal Dano,-0.340126474498,0.0
1956,Richard,Richard Basehart,-0.01585184547,0.0180247574828
1956,James,James Robertson Justice,-0.0615701781752,0.132374172312
1956,Gina,Gina Lollobrigida,-1,-1.71433068943
1956,Katy,Katy Jurado,-1,0.694489795918
1956,Sidney,Sidney James,-0.0792945144842,0.0
1956,Ingrid,Ingrid Bergman,-1,0.451405859823
1956,Yul,Yul Brynner,-1,-1
1951,Peter,Peter Ustinov,-0.00121395984738,-1
1951,Deborah,Deborah Kerr,-1,-1.3786815755
1951,Robert,Robert Taylor,-0.0114046442274,-0.0668617386758
1951,Agnes,Agnes Moorehead,-1,0.0166006416233
1951,Ava,Ava Gardner,-1,-0.382828765007
1951,Howard,Howard Keel,0.0382257610626,-1
1951,Vivien,Vivien Leigh,-1,0.0
1951,Humphrey,Humphrey Bogart,-1,-1
1950,Keenan,Keenan Wynn,0.0,-1
1950,Howard,Howard Keel,0.117149104139,-1
1950,Betty,Betty Hutton,0.0,0.141010580006
1950,Judy,Judy Holliday,-1,0.25924312182
1950,José,José Ferrer,-1,-1
1953,Richard,Richard Burton,-0.231700782454,-0.387021475257
1953,Jean,Jean Simmons,0.634438277842,-0.0698140038094
1953,Victor,Victor Mature,0.103998899317,-1
1953,Montgomery,Montgomery Clift,0.0,-1
1953,Donna,Donna Reed,-1,0.102291539884
1953,Deborah,Deborah Kerr,-1,-0.761841684176
1953,Audrey,Audrey Hepburn,-1,0.235883775867
1953,William,William Holden,-0.0643998220471,0.105675113886
1952,Gloria,Gloria Grahame,-1,-0.0655501795773
1952,Dorothy,Dorothy Lamour,0.0,0.0166989928851
1952,Cornel,Cornel Wilde,-1,-1
1952,Rita,Rita Moreno,-1,0.0726891999092
1952,Debbie,Debbie Reynolds,-1,0.315100651765
1952,Cyd,Cyd Charisse,-1,-1
1952,Shirley,Shirley Booth,0.0,0.0677698414219
1952,Gary,Gary Cooper,-0.426266833861,-1
1959,Gina,Gina Lollobrigida,-1,-0.215070166489
1959,George,George Sanders,-0.0352511253215,-0.1
1959,Finlay,Finlay Currie,-1,-1
1959,Colleen,Colleen Dewhurst,-1,-0.0899926371966
1959,Peter,Peter Finch,-0.158512624559,-1
1959,Beatrice,Beatrice Straight,-1,-0.043634565583
1959,Simone,Simone Signoret,-1,1.40167173252
1959,Charlton,Charlton Heston,-1,-1
1958,Burl,Burl Ives,0.0,-1
1958,Judith,Judith Anderson,-1,0.149357826274
1958,Jack,Jack Carson,0.0192168294801,-1
1958,Susan,Susan Hayward,-1,-0.127390022468
1958,David,David Niven,0.0682381531284,-0.20899447167
1927,Brigitte,Brigitte Helm,-1,0.0
1927,Gustav,Gustav Fröhlich,-1,-1
1927,Rudolf,Rudolf Klein-Rogge,-1,-1
1927,Janet,Janet Gaynor,-1,-23.7115068784
1927,Emil,Emil Jannings,-5.38553306959,-1
1928,Mary,Mary Pickford,-1.74726707704,-705.367429456
1928,Warner,Warner Baxter,0.00238095238095,-1
1929,Louise,Louise Brooks,-1,-76.0732401382
1929,Francis,Francis Lederer,-55.548133495,-4.62517498778
1929,Fritz,Fritz Kortner,0.0,-1
1929,Anita,Anita Page,-1,-15.4347975096
1929,Bessie,Bessie Love,-1,-28.6690301854
1929,Charles,Charles King,-318.237363998,-2.15357241629
1929,Norma,Norma Shearer,-1,-78.8686936158
1929,George,George Arliss,-258.52649705,-1.41304227001
1933,Ginger,Ginger Rogers,-1,0.766666666667
1933,Dick,Dick Powell,-0.0689791701096,-1
1933,George,George Brent,0.196947304688,0.316233955556
1933,Mae,Mae West,-1,0.112960417159
1933,Gilbert,Gilbert Roland,0.178814846489,-1
1933,Louise,Louise Beavers,-1,0.144679972171
1932,Gary,Gary Cooper,0.908167087834,-1
1932,Helen,Helen Hayes,-1,0.00424350495928
1932,Adolphe,Adolphe Menjou,-1,-1
1932,Katharine,Katharine Hepburn,-1,0.0228390135778
1932,Charles,Charles Laughton,-0.0785392815255,0.00805707870104
1931,Helen,Helen Hayes,-1,0.0419838441291
1931,Wallace,Wallace Beery,0.0182181883553,-1
1931,Fredric,Fredric March,0.356614173228,-1
1930,Jean,Jean Harlow,-0.440746619225,-0.133886634154
1930,Marian,Marian Marsh,-1,-0.0515680256606
1930,James,James Hall,-0.0589696942115,-0.380400250286
1930,Marie,Marie Dressler,-1,-0.0838338333218
1930,Lionel,Lionel Barrymore,0.255535825859,-1
1937,David,David Niven,-0.134373068302,0.0
1937,Mary,Mary Astor,0.102994587089,0.0321032108746
1937,Ronald,Ronald Colman,-0.125276247815,-1
1937,Adriana,Adriana Caselotti,-1,0.0
1937,Billy,Billy Gilbert,0.0546464563234,-0.000873786407767
1937,Lucille,Lucille La Verne,-1,-0.0353720926599
1937,Luise,Luise Rainer,-1,-1
1937,Spencer,Spencer Tracy,0.444564516869,0.0
1936,Paulette,Paulette Goddard,-1,0.0
1936,Stanley,Stanley Blystone,0.00126611060668,-1
1936,Fred,Fred Malatesta,-0.0709599835757,-1
1936,Errol,Errol Flynn,1.1395505618,-1
1936,David,David Niven,0.019308671714,0.0
1936,Spring,Spring Byington,-1,0.0
1936,Luise,Luise Rainer,-1,-1
1936,Paul,Paul Muni,0.0443060957751,0.0
1935,Ginger,Ginger Rogers,-1,-0.0153846153846
1935,Edward,Edward Everett Horton,0.141683254494,0.0
1935,Eric,Eric Blore,-0.112808743727,0.0
1935,Bette,Bette Davis,-1,0.260616435655
1935,Victor,Victor McLaglen,0.040689279584,-1
1934,Claudette,Claudette Colbert,-1,-1.17085655166
1934,Alan,Alan Hale,0.369797235205,-1
1934,Walter,Walter Connolly,0.0174311300862,-1
1934,Claudette,Claudette Colbert,-1,-1.17085655166
1934,Clark,Clark Gable,-0.628788563025,-1
1939,Hattie,Hattie McDaniel,-1,-0.114237953382
1939,George,George Reeves,0.197387854752,-0.0229889904839
1939,Thomas,Thomas Mitchell,0.177424507479,0.03
1939,Margaret,Margaret Hamilton,-1,0.0790545966486
1939,Terry,Terry,0.0728497857302,0.761295860089
1939,Billie,Billie Burke,0.152638112162,0.431505108071
1939,Vivien,Vivien Leigh,-1,0.0
1939,Robert,Robert Donat,0.173303556969,0.0587817282522
1938,Tyrone,Tyrone Power,-0.42283492823,-1
1938,Don,Don Ameche,-0.0910253508721,-1
1938,John,John Carradine,0.0719939940169,-0.0152158891877
1938,Jean,Jean Arthur,0.0627014088336,0.138143936014
1938,Ann,Ann Miller,-1,-0.0230405438299
1938,Lionel,Lionel Barrymore,0.0142560452289,-1
1938,Bette,Bette Davis,-1,-0.118290047809
1938,Spencer,Spencer Tracy,0.127525298147,0.0
1986,Brian,Brian Dennehy,0.0631367969763,-0.229915237446
1986,Debra,Debra Winger,-1,0.00785697742092
1986,Roscoe,Roscoe Lee Browne,0.0,-1
1986,Bill,Bill Murray,0.423650229694,-1
1986,Jim,Jim Belushi,0.0643384617938,-1
1986,Tisha,Tisha Campbell-Martin,-1,0.104201690384
1986,Marlee,Marlee Matlin,-1,0.191111111111
1986,Paul,Paul Newman,0.0345272644684,0.0
1987,Joe,Joe Don Baker,0.0463696990297,0.0
1987,Desmond,Desmond Llewelyn,-0.252900393756,-1
1987,Art,Art Malik,0.0,-1
1987,Carol,Carol Kane,0.0,0.16934877992
1987,Warren,Warren Beatty,0.13710454309,-1
1987,Isabelle,Isabelle Adjani,-1,0.627410071942
1987,Cher,Cher,-1,0.0
1987,Michael,Michael Douglas,0.0871750420612,-0.648055788754
1984,Lea,Lea Thompson,-1,-0.00640928747812
1984,Jennifer,Jennifer Grey,-0.572708436311,-0.263908744239
1984,William,William Smith,-0.0331018081736,0.13320436338
1984,Nicolas,Nicolas Cage,-0.0067678387349,-1
1984,Bob,Bob Hoskins,0.0,-1
1984,Fred,Fred Gwynne,0.0839754439803,-1
1984,Sally,Sally Field,-1,-0.00606027071847
1984,F.,F. Murray Abraham,-1,-1
1985,Sylvester,Sylvester Stallone,0.136115372865,-1
1985,Julia,Julia Nickson,-1,0.135940588784
1985,Martin,Martin Kove,0.241286518021,-1
1985,Meryl,Meryl Streep,-1,0.0
1985,Michael,Michael Gough,0.037207108522,-0.0205925957987
1985,Michael,Michael Kitchen,0.037207108522,-0.0205925957987
1985,Geraldine,Geraldine Page,-1,1.64540451759
1985,William,William Hurt,0.0191865402234,-0.158722564974
1982,William,William Smith,-0.0766697205442,0.0823759060022
1982,Mako,Mako,-1,-1
1982,Sandahl,Sandahl Bergman,-1,-1
1982,Ted,Ted Danson,-0.0596356556852,-1
1982,Hal,Hal Holbrook,0.0,-1
1982,Adrienne,Adrienne Barbeau,-1,-0.120602249081
1982,Meryl,Meryl Streep,-1,0.0
1982,Ben,Ben Kingsley,0.20437513595,-1
1983,Margot,Margot Kidder,-1,0.0273717195456
1983,Robert,Robert Vaughn,0.00111906358429,-0.0680498453452
1983,Jackie,Jackie Cooper,0.137292560663,-0.278047326708
1983,Bernie,Bernie Casey,0.0,-1
1983,Klaus,Klaus Maria Brandauer,-1,-1
1983,Barbara,Barbara Carrera,0.0,-0.0540943782548
1983,Shirley,Shirley MacLaine,0.0,0.013886617491
1983,Robert,Robert Duvall,0.00111906358429,-0.0680498453452
1980,Margot,Margot Kidder,-1,0.0195652173913
1980,Ned,Ned Beatty,0.0,-1
1980,Jackie,Jackie Cooper,-0.188807477407,0.155370585796
1980,Jeff,Jeff Bridges,-0.0503008387408,-1
1980,Sam,Sam Waterston,-0.0636961686249,-1
1980,Isabelle,Isabelle Huppert,-1,0.0
1980,Sissy,Sissy Spacek,-1,-1
1980,Robert,Robert De Niro,-0.0465974597051,-0.0558569379787
1981,Laurence,Laurence Olivier,-0.275493291954,-1
1981,Ben,Ben Gazzara,-0.0563613325486,-1
1981,Jacqueline,Jacqueline Bisset,-1,0.0729377927119
1981,Paul,Paul Sorvino,-0.118332149649,0.0
1981,Warren,Warren Beatty,-0.0638094246359,-1
1981,M.,M. Emmet Walsh,-1,-1
1981,Katharine,Katharine Hepburn,-1,-0.708882767885
1981,Henry,Henry Fonda,-0.139651159787,0.0
1988,Sylvester,Sylvester Stallone,-0.381155729762,-1
1988,Kurtwood,Kurtwood Smith,-1,-1
1988,Richard,Richard Crenna,-0.0355442944765,-0.0606593026039
1988,Bill,Bill Murray,0.0561045097985,-1
1988,Alfre,Alfre Woodard,-1,-1
1988,Robert,Robert Mitchum,-0.0622377228874,-0.236036671712
1988,Jodie,Jodie Foster,-1,0.565639311669
1988,Dustin,Dustin Hoffman,-0.112407203671,-0.00909090909091
1989,Michael,Michael Biehn,-0.194246065873,0.141192485433
1989,Todd,Todd Graff,-0.172726946163,-1
1989,Mary,Mary Elizabeth Mastrantonio,0.0,-0.0380365349613
1989,Sylvester,Sylvester Stallone,-0.414657724372,-1
1989,Jack,Jack Palance,0.0700716570847,-1
1989,Brion,Brion James,-1,-1
1989,Jessica,Jessica Tandy,-0.850872120168,-0.122575127919
1989,Daniel,Daniel Day-Lewis,-0.130660682627,0.110392338575
1991,Joe,Joe Morton,-0.178043400169,0.0
1991,Jenette,Jenette Goldstein,-1,-1
1991,S.,S. Epatha Merkerson,-1,-1
1991,Robin,Robin Williams,-0.20946169454,-0.0689972957754
1991,Julia,Julia Roberts,-1,-0.628308292337
1991,Bob,Bob Hoskins,0.0,-1
1991,Jodie,Jodie Foster,-1,-0.354777635156
1991,Anthony,Anthony Hopkins,-0.152400219767,0.497752808989
1990,Ronny,Ronny Cox,-0.236473855037,-1
1990,Rachel,Rachel Ticotin,-0.00339622641509,0.0124732457333
1990,Marshall,Marshall Bell,-0.307161420676,-1
1990,Bruce,Bruce Willis,-0.213138438577,-1
1990,John,John Amos,-0.129492319938,0.603620397662
1990,Franco,Franco Nero,0.00339622641509,-1
1990,Kathy,Kathy Bates,-1,0.00312198627146
1990,Jeremy,Jeremy Irons,-0.075116805872,0.0825688073394
1993,F.,F. Murray Abraham,-1,-1
1993,Tom,Tom Noonan,0.21722726212,-1
1993,Joan,Joan Plowright,0.0,-0.208066451713
1993,Sylvester,Sylvester Stallone,-0.0877546161177,-1
1993,Leon,Leon,-0.00625651130542,-1
1993,Janine,Janine Turner,-1,-0.0659105315988
1993,Holly,Holly Hunter,-1,0.00213364394567
1993,Tom,Tom Hanks,0.21722726212,-1
1992,Michael,Michael Gough,-0.0754216485493,-0.0786208239904
1992,Vincent,Vincent Schiavelli,-0.119331679855,-1
1992,Andrew,Andrew Bryniarski,-0.0265961064492,0.313432343234
1992,Bruce,Bruce Willis,-0.0402229853392,-1
1992,Meryl,Meryl Streep,-1,0.0
1992,Isabella,Isabella Rossellini,-1,0.243840865232
1992,Emma,Emma Thompson,0.0,-0.0172656581573
1992,Al,Al Pacino,0.0,-1
1995,Jeanne,Jeanne Tripplehorn,-1,0.149627889098
1995,Rick,Rick Aviles,0.0892786414532,-1
1995,Zakes,Zakes Mokae,-1,-1
1995,Michael,Michael Gough,0.142253515501,0.156536825524
1995,Rene,Rene Auberjonois,-0.0289618679117,0.257823947748
1995,Debi,Debi Mazar,-1,0.0
1995,Susan,Susan Sarandon,-1,0.241436426285
1995,Nicolas,Nicolas Cage,0.301055362693,-1
1994,Jamie,Jamie Lee Curtis,-0.0446771484682,0.150558536223
1994,Tia,Tia Carrere,-1,0.221224651656
1994,Tom,Tom Arnold,0.530862972901,-1
1994,Matthew,Matthew Broderick,0.14085837071,0.0196078431373
1994,Nathan,Nathan Lane,0.0151555480043,-1
1994,Niketa,Niketa Calame,-1,-1
1994,Jessica,Jessica Lange,0.0775711986783,-0.0908835351833
1994,Tom,Tom Hanks,0.530862972901,-1
1997,Leonardo,Leonardo DiCaprio,0.668207869976,-1
1997,Kate,Kate Winslet,-1,0.379223016298
1997,Gloria,Gloria Stuart,-1,0.0951602405783
1997,Michael,Michael Gough,0.0113126325045,0.0741025424479
1997,Vivica,Vivica A. Fox,-1,-1
1997,John,John Glover,0.0598844742909,0.0
1997,Helen,Helen Hunt,-1,0.127073863442
1997,Jack,Jack Nicholson,-0.0654558172481,-1
1996,Vanessa,Vanessa Williams,-1,-0.0580367743324
1996,James,James Coburn,0.0811194622214,0.0
1996,Roma,Roma Maffia,-1,0.0
1996,Demi,Demi Moore,-1,-0.571928358924
1996,Jason,Jason Alexander,0.068050988896,0.0
1996,Bill,Bill Fagerbakke,0.0641488481682,-1
1996,Frances,Frances McDormand,0.0,0.0521293924568
1996,Geoffrey,Geoffrey Rush,0.0798442070953,-1
1999,Will,Will Smith,-0.508814914954,-1
1999,Salma,Salma Hayek,-1,-2.68960254041
1999,Bai,Bai Ling,-1,-1
1999,Colin,Colin Salmon,0.0303674527633,-1
1999,Maria,Maria Grazia Cucinotta,0.0,-0.0201888873048
1999,Desmond,Desmond Llewelyn,-0.480138485662,-1
1999,Hilary,Hilary Swank,-1,0.195501861561
1999,Kevin,Kevin Spacey,0.151969222481,0.0
1998,Bruce,Bruce Willis,-0.0873095272374,-1
1998,Steve,Steve Buscemi,0.141238955071,-1
1998,Will,Will Patton,-0.0881067898822,-1
1998,Jet,Jet Li,0.0,-1
1998,Rene,Rene Russo,0.100075532935,-0.000873786407767
1998,Darlene,Darlene Love,-1,0.0886899371824
1998,Gwyneth,Gwyneth Paltrow,-1,0.160837789661
1998,Roberto,Roberto Benigni,0.0196288607147,-1
1968,Keir,Keir Dullea,-1,-1
1968,Gary,Gary Lockwood,-0.0150793242305,-1
1968,Glenn,Glenn Beck,0.0297921975871,-1
1968,Oliver,Oliver Reed,0.193905808099,-1
1968,Ron,Ron Moody,0.122648085307,-1
1968,Jack,Jack Wild,0.0398849878896,-1
1968,Katharine,Katharine Hepburn,-1,-0.427865044193
1968,Barbra,Barbra Streisand,-1,-0.127604298379
1968,Cliff,Cliff Robertson,0.398334193299,-1
1969,Clint,Clint Eastwood,-0.502047865912,-1
1969,Lee,Lee Marvin,-0.119801607436,-0.375427669814
1969,Ray,Ray Walston,-0.0672304078351,0.0
1969,Sammy,Sammy Davis Jr.,0.0134167649621,-1
1969,Ricardo,Ricardo Montalban,-0.210189706108,-1
1969,Ben,Ben Vereen,0.151377801152,-1
1969,Maggie,Maggie Smith,-1,0.360804431454
1969,John,John Wayne,-0.18636883876,-0.249631777594
1964,James,James Mason,-0.124279119661,-0.134985853494
1964,Mel,Mel Ferrer,0.0196078431373,-1
1964,Stephen,Stephen Boyd,0.0761979941508,-1
1964,Jeremy,Jeremy Brett,0.595132079802,0.0
1964,Rex,Rex Harrison,-0.171965406443,-1
1964,Theodore,Theodore Bikel,-0.0956226728038,-1
1964,Julie,Julie Andrews,-1,-0.119907356623
1964,Rex,Rex Harrison,-0.171965406443,-1
1965,Martin,Martin Landau,-0.061991523544,-1
1965,Carroll,Carroll Baker,0.200909089443,0.0
1965,José,José Ferrer,-1,-1
1965,Julie,Julie Christie,-1,-0.069023869077
1965,Klaus,Klaus Kinski,-1,-1
1965,Geraldine,Geraldine Chaplin,-1,-0.040144270878
1965,Julie,Julie Christie,-1,-0.069023869077
1965,Lee,Lee Marvin,0.190744053336,-0.0594964201181
1966,Robert,Robert Shaw,0.141432697882,0.332410423286
1966,Susannah,Susannah York,-1,0.29018018018
1966,Paul,Paul Scofield,-0.00672024371652,0.203103448276
1966,Janet,Janet Leigh,-1,0.123562447299
1966,Robert,Robert Wagner,0.141432697882,0.332410423286
1966,Shelley,Shelley Winters,-1,0.0375285345488
1966,Elizabeth,Elizabeth Taylor,0.0,0.0640415172649
1966,Paul,Paul Scofield,-0.00672024371652,0.203103448276
1967,Donald,Donald Pleasence,0.0970812509089,0.0
1967,Burt,Burt Kwouk,0.0,-1
1967,Desmond,Desmond Llewelyn,0.0192832229883,-1
1967,John,John Forsythe,0.226233505334,-0.0956509785004
1967,Robert,Robert Blake,0.223265891095,0.375313800287
1967,Will,Will Geer,0.664121359579,-1
1967,Katharine,Katharine Hepburn,-1,0.535324924131
1967,Rod,Rod Steiger,-0.460731581216,-1
1960,Janet,Janet Leigh,-1,-0.172895245594
1960,Vera,Vera Miles,-1,-0.0783420391295
1960,John,John Gavin,0.0692509715011,0.00548560015019
1960,Fred,Fred MacMurray,-0.206758558816,-1
1960,Ray,Ray Walston,-0.0667159630513,0.0
1960,David,David White,-0.131335391143,-0.206881103651
1960,Elizabeth,Elizabeth Taylor,0.0,-0.144650312011
1960,Burt,Burt Lancaster,0.0805214572231,-1
1961,Rita,Rita Moreno,-1,-0.0916525903518
1961,George,George Chakiris,-0.00363061853475,-0.00238095238095
1961,Richard,Richard Beymer,0.163602440523,-0.0373892060635
1961,Montgomery,Montgomery Clift,0.0,-1
1961,Kevin,Kevin McCarthy,-0.146355372123,0.00298988182591
1961,Thelma,Thelma Ritter,-1,-0.0811448465666
1961,Sophia,Sophia Loren,-1,0.112036860147
1961,Maximilian,Maximilian Schell,0.0,-1
1962,James,James Mason,0.0121289164783,0.283647181655
1962,Shelley,Shelley Winters,-1,-0.276636969546
1962,Lois,Lois Maxwell,-1,-0.040063369181
1962,Claude,Claude Rains,0.050433865336,-1
1962,José,José Ferrer,-1,-1
1962,Jack,Jack Hawkins,-0.0660228526334,-1
1962,Anne,Anne Bancroft,-1,-0.0171565499054
1962,Gregory,Gregory Peck,-0.280706136901,-1
1963,Martin,Martin Landau,-0.441041320372,-1
1963,Richard,Richard Burton,-0.0981105332369,-0.273090751329
1963,Roddy,Roddy McDowall,-1,-1
1963,Ava,Ava Gardner,-1,-0.134309983141
1963,David,David Niven,-0.0671005456244,-0.130982425933
1963,John,John Ireland,-0.215012544803,0.0108230811721
1963,Patricia,Patricia Neal,0.0,0.00867998519776
1963,Sidney,Sidney Poitier,0.133019381354,0.0
