FirstName,FullName,Genre,InfluenceToBoy,InfluenceToGirl
Betty,Betty Hutton,Musical,0.0,0.141010580006
Betty,Betty Hutton,Romance,0.0,0.141010580006
Betty,Betty Hutton,Western,0.0,0.141010580006
Richard,Richard Burton,Drama,-0.0981105332369,-0.273090751329
Richard,Richard Burton,History,-0.0981105332369,-0.273090751329
Jean,Jean Simmons,Drama,0.634438277842,-0.0698140038094
Jean,Jean Simmons,History,0.634438277842,-0.0698140038094
Victor,Victor Mature,Drama,0.103998899317,-1
Victor,Victor Mature,History,0.103998899317,-1
Montgomery,Montgomery Clift,Drama,0.0,-1
Montgomery,Montgomery Clift,Romance,0.0,-1
Montgomery,Montgomery Clift,War,0.0,-1
Donna,Donna Reed,Drama,-1,0.102291539884
Donna,Donna Reed,Romance,-1,0.102291539884
Donna,Donna Reed,War,-1,0.102291539884
Deborah,Deborah Kerr,Drama,-1,-0.761841684176
Deborah,Deborah Kerr,Romance,-1,-0.761841684176
Deborah,Deborah Kerr,War,-1,-0.761841684176
Gloria,Gloria Grahame,Drama,-1,-0.0655501795773
Gloria,Gloria Grahame,Family,-1,-0.0655501795773
Gloria,Gloria Grahame,Romance,-1,-0.0655501795773
Dorothy,Dorothy Lamour,Drama,0.0,0.0166989928851
Dorothy,Dorothy Lamour,Family,0.0,0.0166989928851
Dorothy,Dorothy Lamour,Romance,0.0,0.0166989928851
Cornel,Cornel Wilde,Drama,-1,-1
Cornel,Cornel Wilde,Family,-1,-1
Cornel,Cornel Wilde,Romance,-1,-1
Rita,Rita Moreno,Comedy,-1,-0.0916525903518
Rita,Rita Moreno,Musical,-1,-0.0916525903518
Rita,Rita Moreno,Romance,-1,-0.0916525903518
Debbie,Debbie Reynolds,Comedy,-1,0.315100651765
Debbie,Debbie Reynolds,Musical,-1,0.315100651765
Debbie,Debbie Reynolds,Romance,-1,0.315100651765
Cyd,Cyd Charisse,Comedy,-1,-1
Cyd,Cyd Charisse,Musical,-1,-1
Cyd,Cyd Charisse,Romance,-1,-1
Gina,Gina Lollobrigida,Drama,-1,-0.215070166489
Gina,Gina Lollobrigida,History,-1,-0.215070166489
Gina,Gina Lollobrigida,Romance,-1,-0.215070166489
Gina,Gina Lollobrigida,War,-1,-0.215070166489
George,George Sanders,Drama,-0.0352511253215,-0.1
George,George Sanders,History,-0.0352511253215,-0.1
George,George Sanders,Romance,-0.0352511253215,-0.1
George,George Sanders,War,-0.0352511253215,-0.1
Finlay,Finlay Currie,Drama,-1,-1
Finlay,Finlay Currie,History,-1,-1
Finlay,Finlay Currie,Romance,-1,-1
Finlay,Finlay Currie,War,-1,-1
Colleen,Colleen Dewhurst,Drama,-1,-0.0899926371966
Peter,Peter Finch,Drama,-0.158512624559,-1
Beatrice,Beatrice Straight,Drama,-1,-0.043634565583
Burl,Burl Ives,Drama,0.0,-1
Burl,Burl Ives,Romance,0.0,-1
